"Date","Apple","Samsung","Xiaomi","Vivo","Oppo","Unknown","Realme","Huawei","Infinix","OnePlus","Tecno","Motorola","Honor","Google","Itel","Sony","Nokia","Asus","Lenovo","LG","Nothing","BBK","ZTE","Vsmart","Lava","HTC","Reeder","Infinex","General Mobile","Jio","Meizu","Lave","Casper","TCL","Other"
2024-04,19.94,19.05,14.2,9.09,9.21,10.41,5.91,3.69,1.6,1.72,1.1,0.77,0.58,0.57,0.31,0.33,0.25,0.24,0.21,0.15,0.05,0.1,0.03,0.09,0.04,0.05,0.03,0.07,0.03,0.03,0.01,0,0.02,0.01,0.1
2024-05,19.69,18.9,14.3,9.55,9.44,9.53,6.05,3.68,1.71,1.82,1.16,0.86,0.66,0.51,0.34,0.35,0.25,0.22,0.2,0.14,0.06,0.09,0.04,0.08,0.04,0.05,0.02,0.07,0.02,0.03,0.01,0.01,0.01,0.01,0.09
2024-06,19.38,18.35,14.79,9.73,9.17,9.11,6.23,3.86,1.83,1.97,1.24,0.99,0.75,0.5,0.35,0.33,0.23,0.23,0.21,0.14,0.06,0.09,0.04,0.05,0.05,0.05,0.02,0.07,0.02,0.03,0.01,0.01,0.01,0.01,0.08
2024-07,19.81,18.16,14.64,9.39,9.02,9.76,5.9,4.09,1.75,1.95,1.19,1,0.77,0.54,0.32,0.33,0.22,0.21,0.19,0.14,0.06,0.09,0.05,0.06,0.04,0.05,0.02,0.07,0.02,0.03,0.01,0.01,0.01,0.01,0.07
2024-08,19.21,18.57,15.24,9.72,8.79,8.45,6.12,4.17,1.82,2.15,1.21,1.19,0.86,0.51,0.33,0.3,0.21,0.2,0.19,0.14,0.08,0.09,0.05,0.05,0.05,0.05,0.03,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.08
2024-09,18.23,17.82,14.84,10.88,9.18,8.24,6.87,3.56,2.02,2.33,1.28,1.31,1.07,0.46,0.34,0.27,0.19,0.2,0.18,0.13,0.12,0.08,0.05,0.05,0.05,0.05,0.02,0,0.02,0.02,0.02,0.02,0.01,0.01,0.07
2024-10,17.66,17.43,14.08,10.75,9.19,8.83,7.17,3.32,2.77,2.13,1.78,1.3,1.02,0.66,0.42,0.25,0.17,0.18,0.17,0.12,0.13,0.07,0.06,0.04,0.04,0.04,0.03,0,0.03,0.02,0.02,0.01,0.02,0.01,0.07
2024-11,16.98,17.52,14.45,11.2,9.74,8.05,7.52,2.91,2.93,2.22,1.64,1.5,0.94,0.58,0.41,0.23,0.16,0.18,0.15,0.11,0.15,0.06,0.05,0.04,0.05,0.04,0.02,0,0.02,0.02,0.02,0.01,0.01,0.01,0.06
2024-12,17.75,17.67,14.66,10.85,9.46,7.94,7.3,2.99,2.79,2.22,1.58,1.51,0.98,0.55,0.39,0.22,0.16,0.18,0.15,0.1,0.14,0.06,0.06,0.03,0.05,0.04,0.02,0,0.02,0.01,0.02,0.01,0.01,0.01,0.06
2025-01,19.4,17.85,14.93,10.52,9.2,7.05,7.01,3,2.5,2.22,1.48,1.6,0.99,0.53,0.36,0.21,0.16,0.17,0.15,0.1,0.15,0.06,0.06,0.04,0.05,0.04,0.03,0,0.02,0.01,0.02,0.01,0.01,0.01,0.06
2025-02,20.12,17.83,14.22,9.7,8.92,9.11,6.25,3.27,2.37,1.96,1.44,1.4,1.16,0.59,0.34,0.21,0.16,0.15,0.14,0.1,0.13,0.06,0.06,0.05,0.04,0.04,0.03,0,0.02,0.01,0.02,0.01,0.01,0.01,0.06
2025-03,19.42,17.37,14.07,9.99,9.21,9.39,6.36,3.22,2.35,2.01,1.44,1.45,1.28,0.8,0.35,0.21,0.15,0.14,0.13,0.1,0.13,0.06,0.06,0.05,0.04,0.03,0.03,0,0.02,0.01,0.02,0.01,0.01,0.01,0.07
2025-04,18.26,17.33,14.01,10.12,9.23,9.81,6.56,3.34,2.39,2.07,1.52,1.58,1.31,0.83,0.37,0.2,0.15,0.12,0.13,0.1,0.14,0.06,0.06,0.04,0.05,0.02,0.04,0,0.02,0.01,0.02,0.01,0.01,0.01,0.07
