"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"2024","regular","16","Playoff Committee Rankings","1","Oregon","Big Ten","0","0"
"2024","regular","16","Playoff Committee Rankings","2","Georgia","SEC","0","0"
"2024","regular","16","Playoff Committee Rankings","3","Texas","SEC","0","0"
"2024","regular","16","Playoff Committee Rankings","4","Penn State","Big Ten","0","0"
"2024","regular","16","Playoff Committee Rankings","5","Notre Dame","FBS Independents","0","0"
"2024","regular","16","Playoff Committee Rankings","6","Ohio State","Big Ten","0","0"
"2024","regular","16","Playoff Committee Rankings","7","Tennessee","SEC","0","0"
"2024","regular","16","Playoff Committee Rankings","8","Indiana","Big Ten","0","0"
"2024","regular","16","Playoff Committee Rankings","9","Boise State","Mountain West","0","0"
"2024","regular","16","Playoff Committee Rankings","10","SMU","ACC","0","0"
"2024","regular","16","Playoff Committee Rankings","11","Alabama","SEC","0","0"
"2024","regular","16","Playoff Committee Rankings","12","Arizona State","Big 12","0","0"
"2024","regular","16","Playoff Committee Rankings","13","Miami","ACC","0","0"
"2024","regular","16","Playoff Committee Rankings","14","Ole Miss","SEC","0","0"
"2024","regular","16","Playoff Committee Rankings","15","South Carolina","SEC","0","0"
"2024","regular","16","Playoff Committee Rankings","16","Clemson","ACC","0","0"
"2024","regular","16","Playoff Committee Rankings","17","BYU","Big 12","0","0"
"2024","regular","16","Playoff Committee Rankings","18","Iowa State","Big 12","0","0"
"2024","regular","16","Playoff Committee Rankings","19","Missouri","SEC","0","0"
"2024","regular","16","Playoff Committee Rankings","20","Illinois","Big Ten","0","0"
"2024","regular","16","Playoff Committee Rankings","21","Syracuse","ACC","0","0"
"2024","regular","16","Playoff Committee Rankings","22","Army","American Athletic","0","0"
"2024","regular","16","Playoff Committee Rankings","23","Colorado","Big 12","0","0"
"2024","regular","16","Playoff Committee Rankings","24","UNLV","Mountain West","0","0"
"2024","regular","16","Playoff Committee Rankings","25","Memphis","American Athletic","0","0"
"2024","regular","16","AP Top 25","1","Oregon","Big Ten","62","1550"
"2024","regular","16","AP Top 25","2","Georgia","SEC","0","1474"
"2024","regular","16","AP Top 25","3","Notre Dame","FBS Independents","0","1398"
"2024","regular","16","AP Top 25","4","Texas","SEC","0","1356"
"2024","regular","16","AP Top 25","5","Penn State","Big Ten","0","1258"
"2024","regular","16","AP Top 25","6","Ohio State","Big Ten","0","1233"
"2024","regular","16","AP Top 25","7","Tennessee","SEC","0","1224"
"2024","regular","16","AP Top 25","8","Boise State","Mountain West","0","1108"
"2024","regular","16","AP Top 25","9","Indiana","Big Ten","0","1052"
"2024","regular","16","AP Top 25","10","Arizona State","Big 12","0","1001"
"2024","regular","16","AP Top 25","11","Alabama","SEC","0","838"
"2024","regular","16","AP Top 25","12","SMU","ACC","0","837"
"2024","regular","16","AP Top 25","13","Clemson","ACC","0","827"
"2024","regular","16","AP Top 25","14","South Carolina","SEC","0","770"
"2024","regular","16","AP Top 25","15","Miami","ACC","0","697"
"2024","regular","16","AP Top 25","16","Ole Miss","SEC","0","680"
"2024","regular","16","AP Top 25","17","BYU","Big 12","0","531"
"2024","regular","16","AP Top 25","18","Iowa State","Big 12","0","401"
"2024","regular","16","AP Top 25","19","Army","American Athletic","0","363"
"2024","regular","16","AP Top 25","20","Colorado","Big 12","0","329"
"2024","regular","16","AP Top 25","21","Illinois","Big Ten","0","317"
"2024","regular","16","AP Top 25","22","Syracuse","ACC","0","234"
"2024","regular","16","AP Top 25","23","Missouri","SEC","0","228"
"2024","regular","16","AP Top 25","24","UNLV","Mountain West","0","144"
"2024","regular","16","AP Top 25","25","Memphis","American Athletic","0","132"
"2024","regular","16","Coaches Poll","1","Oregon","Big Ten","54","1350"
"2024","regular","16","Coaches Poll","2","Georgia","SEC","0","1281"
"2024","regular","16","Coaches Poll","3","Notre Dame","FBS Independents","0","1214"
"2024","regular","16","Coaches Poll","4","Texas","SEC","0","1178"
"2024","regular","16","Coaches Poll","5","Penn State","Big Ten","0","1080"
"2024","regular","16","Coaches Poll","6","Tennessee","SEC","0","1069"
"2024","regular","16","Coaches Poll","7","Ohio State","Big Ten","0","1037"
"2024","regular","16","Coaches Poll","8","Boise State","Mountain West","0","929"
"2024","regular","16","Coaches Poll","9","Indiana","Big Ten","0","925"
"2024","regular","16","Coaches Poll","10","Arizona State","Big 12","0","856"
"2024","regular","16","Coaches Poll","11","Alabama","SEC","0","749"
"2024","regular","16","Coaches Poll","12","SMU","ACC","0","741"
"2024","regular","16","Coaches Poll","13","Clemson","ACC","0","707"
"2024","regular","16","Coaches Poll","14","South Carolina","SEC","0","668"
"2024","regular","16","Coaches Poll","15","Ole Miss","SEC","0","631"
"2024","regular","16","Coaches Poll","16","Miami","ACC","0","611"
"2024","regular","16","Coaches Poll","17","BYU","Big 12","0","423"
"2024","regular","16","Coaches Poll","18","Army","American Athletic","0","361"
"2024","regular","16","Coaches Poll","19","Iowa State","Big 12","0","355"
"2024","regular","16","Coaches Poll","20","Missouri","SEC","0","282"
"2024","regular","16","Coaches Poll","21","Illinois","Big Ten","0","275"
"2024","regular","16","Coaches Poll","22","Colorado","Big 12","0","228"
"2024","regular","16","Coaches Poll","23","Memphis","American Athletic","0","166"
"2024","regular","16","Coaches Poll","24","UNLV","Mountain West","0","140"
"2024","regular","16","Coaches Poll","25","Syracuse","ACC","0","129"
